week,startDate,startDateTime,team1Id,team1Name,team1ShortName,team2Id,team2Name,team2ShortName,season
1,2023-04-27,1682622000000,15219,San Francisco Shock,SFS,15234,Toronto Defiant,TOR,2023
1,2023-04-27,1682627400000,15269,Washington Justice,WAS,15170,London Spitfire,LDN,2023
1,2023-04-27,1682632800000,15270,Vancouver Titans,VAN,15165,Florida Mayhem,FLA,2023
1,2023-04-28,1682708400000,15206,New York Excelsior,NYE,15204,Atlanta Reign,ATL,2023
1,2023-04-28,1682713800000,15201,Houston Outlaws,HOU,15188,Los Angeles Gladiators,GLA,2023
1,2023-04-28,1682719200000,15270,Vancouver Titans,VAN,15247,Los Angeles Valiant,VAL,2023
1,2023-04-29,1682794800000,15269,Washington Justice,WAS,15173,Vegas Eternal,LVE,2023
1,2023-04-29,1682800200000,15247,Los Angeles Valiant,VAL,15201,Houston Outlaws,HOU,2023
1,2023-04-29,1682805600000,15206,New York Excelsior,NYE,15252,Boston Uprising,BOS,2023
1,2023-04-29,1682811000000,15219,San Francisco Shock,SFS,15204,Atlanta Reign,ATL,2023
1,2023-04-30,1682881200000,15173,Vegas Eternal,LVE,15165,Florida Mayhem,FLA,2023
1,2023-04-30,1682886600000,15170,London Spitfire,LDN,15252,Boston Uprising,BOS,2023
1,2023-04-30,1682892000000,15234,Toronto Defiant,TOR,15188,Los Angeles Gladiators,GLA,2023
1,2023-04-29,1682755200000,15217,Seoul Dynasty,DYN,15233,Seoul Infernal,INF,2023
1,2023-04-29,1682760600000,15263,Dallas Fuel,DAL,15287,Guangzhou Charge,GZC,2023
1,2023-04-29,1682766000000,15341,Hangzhou Spark,HZS,15308,Shanghai Dragons,SHD,2023
2,2023-05-05,1683313200000,15234,Toronto Defiant,TOR,15206,New York Excelsior,NYE,2023
2,2023-05-05,1683318600000,15269,Washington Justice,WAS,15247,Los Angeles Valiant,VAL,2023
2,2023-05-05,1683324000000,15270,Vancouver Titans,VAN,15204,Atlanta Reign,ATL,2023
2,2023-05-06,1683399600000,15247,Los Angeles Valiant,VAL,15206,New York Excelsior,NYE,2023
2,2023-05-06,1683405000000,15269,Washington Justice,WAS,15252,Boston Uprising,BOS,2023
2,2023-05-06,1683410400000,15188,Los Angeles Gladiators,GLA,15165,Florida Mayhem,FLA,2023
2,2023-05-07,1683486000000,15234,Toronto Defiant,TOR,15165,Florida Mayhem,FLA,2023
2,2023-05-07,1683491400000,15270,Vancouver Titans,VAN,15252,Boston Uprising,BOS,2023
2,2023-05-07,1683496800000,15188,Los Angeles Gladiators,GLA,15204,Atlanta Reign,ATL,2023
2,2023-05-05,1683273600000,15263,Dallas Fuel,DAL,15341,Hangzhou Spark,HZS,2023
2,2023-05-05,1683279000000,15233,Seoul Infernal,INF,15308,Shanghai Dragons,SHD,2023
2,2023-05-06,1683360000000,15263,Dallas Fuel,DAL,15233,Seoul Infernal,INF,2023
2,2023-05-06,1683365400000,15217,Seoul Dynasty,DYN,15287,Guangzhou Charge,GZC,2023
2,2023-05-07,1683446400000,15217,Seoul Dynasty,DYN,15308,Shanghai Dragons,SHD,2023
2,2023-05-07,1683451800000,15287,Guangzhou Charge,GZC,15341,Hangzhou Spark,HZS,2023
