round_start_time,round_end_time,stage,match_id,game_number,match_winner,map_winner,map_loser,map_name,map_round,winning_team_final_map_score,losing_team_final_map_score,control_round_name,attacker,defender,team_one_name,team_two_name,attacker_payload_distance,defender_payload_distance,attacker_time_banked,defender_time_banked,attacker_control_perecent,defender_control_perecent,attacker_round_end_score,defender_round_end_score
1/11/2018 0:12,1/11/2018 0:20,Overwatch League - Stage 1,10223,1,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Dorado,1,3,2,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,75.61505127,0,0,240,NULL,NULL,2,0
1/11/2018 0:22,1/11/2018 0:27,Overwatch League - Stage 1,10223,1,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Dorado,2,3,2,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,75.64959717,75.61505127,125.7505722,0,NULL,NULL,3,2
1/11/2018 0:34,1/11/2018 0:38,Overwatch League - Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,1,4,3,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,0,0,250.4920044,240,NULL,NULL,2,0
1/11/2018 0:40,1/11/2018 0:44,Overwatch League - Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,2,4,3,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,225.789032,250.4920044,NULL,NULL,2,2
1/11/2018 0:46,1/11/2018 0:49,Overwatch League - Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,3,4,3,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,36.39605713,250.4920044,NULL,NULL,4,2
1/11/2018 0:51,1/11/2018 0:56,Overwatch League - Stage 1,10223,2,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Temple of Anubis,4,4,3,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,0,0,0,36.39605713,NULL,NULL,3,4
1/11/2018 1:11,1/11/2018 1:16,Overwatch League - Stage 1,10223,3,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Ilios,1,2,1,Lighthouse,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,0,0,99,100,0,1
1/11/2018 1:17,1/11/2018 1:20,Overwatch League - Stage 1,10223,3,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Ilios,2,2,1,Ruins,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,0,0,100,0,1,1
1/11/2018 1:20,1/11/2018 1:25,Overwatch League - Stage 1,10223,3,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Ilios,3,2,1,Well,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,0,0,0,0,100,65,2,1
1/11/2018 1:32,1/11/2018 1:39,Overwatch League - Stage 1,10223,4,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Numbani,1,2,1,NULL,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,75.54950714,0,0,0,NULL,NULL,1,0
1/11/2018 1:41,1/11/2018 1:45,Overwatch League - Stage 1,10223,4,Los Angeles Valiant,Los Angeles Valiant,San Francisco Shock,Numbani,3,2,1,NULL,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,San Francisco Shock,75.5636673,75.54950714,165.8400269,0,NULL,NULL,2,1
1/11/2018 2:08,1/11/2018 2:13,Overwatch League - Stage 1,10224,1,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Dorado,1,1,0,NULL,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,70.16186523,0,0,240,NULL,NULL,0,0
1/11/2018 2:15,1/11/2018 2:15,Overwatch League - Stage 1,10224,1,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Dorado,2,1,0,NULL,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,Shanghai Dragons,70.17893219,70.16186523,186.3128052,0,NULL,NULL,1,0
1/11/2018 2:25,1/11/2018 2:34,Overwatch League - Stage 1,10224,2,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Temple of Anubis,1,2,1,NULL,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,0,0,0,240,NULL,NULL,1,0
1/11/2018 2:36,1/11/2018 2:38,Overwatch League - Stage 1,10224,2,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Temple of Anubis,2,2,1,NULL,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,Shanghai Dragons,0,0,356.8640137,0,NULL,NULL,2,1
1/11/2018 2:52,1/11/2018 2:58,Overwatch League - Stage 1,10224,3,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Ilios,1,2,0,Well,Shanghai Dragons,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,0,0,0,0,99,100,0,1
1/11/2018 2:59,1/11/2018 3:03,Overwatch League - Stage 1,10224,3,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Ilios,2,2,0,Ruins,Shanghai Dragons,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,0,0,0,0,58,100,0,2
1/11/2018 3:11,1/11/2018 3:15,Overwatch League - Stage 1,10224,4,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Eichenwalde,1,1,0,NULL,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,0,0,0,0,NULL,NULL,0,0
1/11/2018 3:17,1/11/2018 3:19,Overwatch League - Stage 1,10224,4,Los Angeles Gladiators,Los Angeles Gladiators,Shanghai Dragons,Eichenwalde,3,1,0,NULL,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,Shanghai Dragons,0,0,107.6240082,0,NULL,NULL,1,0
1/11/2018 3:46,1/11/2018 3:53,Overwatch League - Stage 1,10225,1,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Junkertown,1,3,2,NULL,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,102.0045776,0,63.69151688,240,NULL,NULL,3,0
1/11/2018 3:55,1/11/2018 4:03,Overwatch League - Stage 1,10225,1,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Junkertown,2,3,2,NULL,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,86.9697876,102.0045776,0,63.69151688,NULL,NULL,2,3
1/11/2018 4:12,1/11/2018 4:13,Overwatch League - Stage 1,10225,2,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Temple of Anubis,1,6,5,NULL,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,0,0,374.0840149,240,NULL,NULL,2,0
1/11/2018 4:15,1/11/2018 4:19,Overwatch League - Stage 1,10225,2,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Temple of Anubis,2,6,5,NULL,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,0,0,288.03302,374.0840149,NULL,NULL,2,2
1/11/2018 4:20,1/11/2018 4:22,Overwatch League - Stage 1,10225,2,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Temple of Anubis,3,6,5,NULL,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,0,0,198.8730469,374.0840149,NULL,NULL,4,2
1/11/2018 4:23,1/11/2018 4:26,Overwatch League - Stage 1,10225,2,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Temple of Anubis,4,6,5,NULL,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,0,0,270.4060364,198.8730469,NULL,NULL,4,4
1/11/2018 4:27,1/11/2018 4:31,Overwatch League - Stage 1,10225,2,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Temple of Anubis,5,6,5,NULL,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,0,0,11.92306519,270.4060364,NULL,NULL,6,4
1/11/2018 4:32,1/11/2018 4:39,Overwatch League - Stage 1,10225,2,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Temple of Anubis,6,6,5,NULL,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,0,0,0,11.92306519,NULL,NULL,5,6
1/11/2018 4:56,1/11/2018 5:00,Overwatch League - Stage 1,10225,3,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Ilios,1,2,0,Lighthouse,Dallas Fuel,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,0,0,0,0,35,100,0,1
1/11/2018 5:00,1/11/2018 5:04,Overwatch League - Stage 1,10225,3,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,Ilios,2,2,0,Well,Dallas Fuel,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,0,0,0,0,0,100,0,2
1/11/2018 5:12,1/11/2018 5:20,Overwatch League - Stage 1,10225,4,Seoul Dynasty,draw,draw,Numbani,1,3,3,NULL,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,71.79216766,0,0,0,NULL,NULL,3,0
1/11/2018 5:22,1/11/2018 5:30,Overwatch League - Stage 1,10225,4,Seoul Dynasty,draw,draw,Numbani,3,3,3,NULL,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,71.79545593,71.79216766,60,60,NULL,NULL,3,3
1/11/2018 5:31,1/11/2018 5:33,Overwatch League - Stage 1,10225,4,Seoul Dynasty,draw,draw,Numbani,5,3,3,NULL,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Dallas Fuel,0,71.79545593,0,60,NULL,NULL,3,3
1/11/2018 5:34,1/11/2018 5:35,Overwatch League - Stage 1,10225,4,Seoul Dynasty,draw,draw,Numbani,7,3,3,NULL,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,0,0,0,0,NULL,NULL,3,3
1/11/2018 22:10,1/11/2018 22:16,Overwatch League - Stage 1,10226,1,London Spitfire,Florida Mayhem,London Spitfire,Dorado,1,2,1,NULL,London Spitfire,Florida Mayhem,Florida Mayhem,London Spitfire,93.26958466,0,0,240,NULL,NULL,1,0
1/11/2018 22:18,1/11/2018 22:22,Overwatch League - Stage 1,10226,1,London Spitfire,Florida Mayhem,London Spitfire,Dorado,2,2,1,NULL,Florida Mayhem,London Spitfire,Florida Mayhem,London Spitfire,93.28312683,93.26958466,172.7027893,0,NULL,NULL,2,1
1/11/2018 22:29,1/11/2018 22:32,Overwatch League - Stage 1,10226,2,London Spitfire,London Spitfire,Florida Mayhem,Temple of Anubis,1,2,1,NULL,London Spitfire,Florida Mayhem,Florida Mayhem,London Spitfire,0,0,284.8690186,240,NULL,NULL,2,0
1/11/2018 22:34,1/11/2018 22:43,Overwatch League - Stage 1,10226,2,London Spitfire,London Spitfire,Florida Mayhem,Temple of Anubis,2,2,1,NULL,Florida Mayhem,London Spitfire,Florida Mayhem,London Spitfire,0,0,0,284.8690186,NULL,NULL,1,2
