,week,startDate,startDateTime,team1Id,team1Name,team1ShortName,team2Id,team2Name,team2ShortName
0,1,2021-04-16,1618599600000,4525,Houston Outlaws,HOU,4523,Dallas Fuel,DAL
1,1,2021-04-16,1618605000000,4406,Los Angeles Gladiators,GLA,4404,San Francisco Shock,SFS
2,1,2021-04-17,1618650000000,7699,Guangzhou Charge,GZC,4408,Shanghai Dragons,SHD
3,1,2021-04-17,1618655400000,4405,Los Angeles Valiant,VAL,7692,Chengdu Hunters,CDH
4,1,2021-04-17,1618660800000,4524,Philadelphia Fusion,PHI,4409,Seoul Dynasty,SEO
5,1,2021-04-17,1618686000000,7695,Toronto Defiant,TOR,7696,Vancouver Titans,VAN
6,1,2021-04-17,1618691400000,7698,Atlanta Reign,ATL,4407,Florida Mayhem,FLA
7,1,2021-04-17,1618696800000,4523,Dallas Fuel,DAL,4406,Los Angeles Gladiators,GLA
8,1,2021-04-18,1618736400000,7699,Guangzhou Charge,GZC,4409,Seoul Dynasty,SEO
9,1,2021-04-18,1618741800000,7692,Chengdu Hunters,CDH,4408,Shanghai Dragons,SHD
10,1,2021-04-18,1618747200000,4524,Philadelphia Fusion,PHI,4405,Los Angeles Valiant,VAL
11,1,2021-04-18,1618772400000,4525,Houston Outlaws,HOU,4404,San Francisco Shock,SFS
12,1,2021-04-18,1618777800000,4407,Florida Mayhem,FLA,7696,Vancouver Titans,VAN
13,1,2021-04-18,1618783200000,7695,Toronto Defiant,TOR,7698,Atlanta Reign,ATL
14,2,2021-04-23,1619204400000,7694,Paris Eternal,PAR,7696,Vancouver Titans,VAN
15,2,2021-04-23,1619209800000,4406,Los Angeles Gladiators,GLA,4410,London Spitfire,LDN
16,2,2021-04-24,1619254800000,7692,Chengdu Hunters,CDH,4403,New York Excelsior,NYE
17,2,2021-04-24,1619260200000,4524,Philadelphia Fusion,PHI,7693,Hangzhou Spark,HZS
18,2,2021-04-24,1619290800000,4525,Houston Outlaws,HOU,7694,Paris Eternal,PAR
19,2,2021-04-24,1619296200000,4402,Boston Uprising,BOS,4406,Los Angeles Gladiators,GLA
20,2,2021-04-24,1619301600000,7697,Washington Justice,WAS,4523,Dallas Fuel,DAL
21,2,2021-04-25,1619341200000,7693,Hangzhou Spark,HZS,4403,New York Excelsior,NYE
22,2,2021-04-25,1619346600000,7692,Chengdu Hunters,CDH,4524,Philadelphia Fusion,PHI
23,2,2021-04-25,1619377200000,4525,Houston Outlaws,HOU,4410,London Spitfire,LDN
24,2,2021-04-25,1619382600000,4402,Boston Uprising,BOS,4523,Dallas Fuel,DAL
25,2,2021-04-25,1619388000000,7696,Vancouver Titans,VAN,7697,Washington Justice,WAS
26,3,2021-04-29,1619722800000,7694,Paris Eternal,PAR,7698,Atlanta Reign,ATL
27,3,2021-04-29,1619728200000,7697,Washington Justice,WAS,4402,Boston Uprising,BOS
28,3,2021-04-30,1619773200000,4405,Los Angeles Valiant,VAL,7699,Guangzhou Charge,GZC
29,3,2021-04-30,1619778600000,4409,Seoul Dynasty,SEO,4403,New York Excelsior,NYE
30,3,2021-04-30,1619784000000,4408,Shanghai Dragons,SHD,7693,Hangzhou Spark,HZS
31,3,2021-04-30,1619809200000,4402,Boston Uprising,BOS,4410,London Spitfire,LDN
32,3,2021-04-30,1619814600000,4404,San Francisco Shock,SFS,4407,Florida Mayhem,FLA
33,3,2021-04-30,1619820000000,7695,Toronto Defiant,TOR,7697,Washington Justice,WAS
