team,rmsa,team dropped
Shanghai Dragons,77.4,Chengdu Hunters
Los Angeles Gladiators,75.37,Chengdu Hunters
Dallas Fuel,70.17,Chengdu Hunters
Atlanta Reign,64.33,Chengdu Hunters
San Francisco Shock,62.35,Chengdu Hunters
Houston Outlaws,45.81,Chengdu Hunters
Seoul Dynasty,45.78,Chengdu Hunters
Philadelphia Fusion,36.3,Chengdu Hunters
Chengdu Hunters,12.36,Chengdu Hunters
New York Excelsior,7.98,Chengdu Hunters
Guangzhou Charge,4.42,Chengdu Hunters
Washington Justice,4.21,Chengdu Hunters
Hangzhou Spark,1.89,Chengdu Hunters
Paris Eternal,-0.59,Chengdu Hunters
Boston Uprising,-5.04,Chengdu Hunters
Florida Mayhem,-10.46,Chengdu Hunters
Toronto Defiant,-17.65,Chengdu Hunters
London Spitfire,-54.69,Chengdu Hunters
Vancouver Titans,-73.93,Chengdu Hunters
Los Angeles Valiant,-98.85,Chengdu Hunters
Los Angeles Gladiators,74.72,Guangzhou Charge
Dallas Fuel,65.9,Guangzhou Charge
Shanghai Dragons,64.77,Guangzhou Charge
San Francisco Shock,63.17,Guangzhou Charge
Atlanta Reign,62.97,Guangzhou Charge
Houston Outlaws,46.49,Guangzhou Charge
Chengdu Hunters,43.26,Guangzhou Charge
Seoul Dynasty,39.41,Guangzhou Charge
Philadelphia Fusion,23.72,Guangzhou Charge
Guangzhou Charge,12.42,Guangzhou Charge
Washington Justice,5.96,Guangzhou Charge
New York Excelsior,4.85,Guangzhou Charge
Paris Eternal,1.98,Guangzhou Charge
Florida Mayhem,-3.24,Guangzhou Charge
Boston Uprising,-3.31,Guangzhou Charge
Toronto Defiant,-16.27,Guangzhou Charge
Hangzhou Spark,-16.89,Guangzhou Charge
London Spitfire,-52.09,Guangzhou Charge
Vancouver Titans,-70.83,Guangzhou Charge
Los Angeles Valiant,-98.5,Guangzhou Charge
Los Angeles Gladiators,72.68,Hangzhou Spark
Shanghai Dragons,66.41,Hangzhou Spark
Dallas Fuel,63.23,Hangzhou Spark
Atlanta Reign,61.86,Hangzhou Spark
San Francisco Shock,58.82,Hangzhou Spark
Houston Outlaws,43.1,Hangzhou Spark
Chengdu Hunters,36.99,Hangzhou Spark
Seoul Dynasty,31.35,Hangzhou Spark
Philadelphia Fusion,15.71,Hangzhou Spark
Hangzhou Spark,8.39,Hangzhou Spark
Washington Justice,-0.21,Hangzhou Spark
New York Excelsior,-1.46,Hangzhou Spark
Paris Eternal,-3.41,Hangzhou Spark
Boston Uprising,-6.91,Hangzhou Spark
Florida Mayhem,-8.96,Hangzhou Spark
Guangzhou Charge,-10.15,Hangzhou Spark
Toronto Defiant,-21.85,Hangzhou Spark
London Spitfire,-59.31,Hangzhou Spark
Vancouver Titans,-78.52,Hangzhou Spark
Los Angeles Valiant,-100.0,Hangzhou Spark
Los Angeles Gladiators,72.62,Los Angeles Valiant
Shanghai Dragons,61.91,Los Angeles Valiant
Atlanta Reign,61.11,Los Angeles Valiant
Dallas Fuel,59.0,Los Angeles Valiant
San Francisco Shock,56.46,Los Angeles Valiant
Houston Outlaws,37.74,Los Angeles Valiant
Chengdu Hunters,30.74,Los Angeles Valiant
Seoul Dynasty,26.69,Los Angeles Valiant
Philadelphia Fusion,12.45,Los Angeles Valiant
Los Angeles Valiant,1.1,Los Angeles Valiant
Washington Justice,-10.72,Los Angeles Valiant
Paris Eternal,-12.39,Los Angeles Valiant
Boston Uprising,-14.25,Los Angeles Valiant
Florida Mayhem,-17.31,Los Angeles Valiant
Toronto Defiant,-34.88,Los Angeles Valiant
New York Excelsior,-39.99,Los Angeles Valiant
Guangzhou Charge,-43.47,Los Angeles Valiant
Hangzhou Spark,-54.09,Los Angeles Valiant
London Spitfire,-74.79,Los Angeles Valiant
Vancouver Titans,-96.01,Los Angeles Valiant
Los Angeles Gladiators,70.33,New York Excelsior
Shanghai Dragons,62.36,New York Excelsior
Dallas Fuel,60.91,New York Excelsior
Atlanta Reign,59.17,New York Excelsior
San Francisco Shock,55.46,New York Excelsior
Chengdu Hunters,40.27,New York Excelsior
Houston Outlaws,39.9,New York Excelsior
Seoul Dynasty,38.05,New York Excelsior
Philadelphia Fusion,34.05,New York Excelsior
New York Excelsior,4.91,New York Excelsior
Washington Justice,-3.95,New York Excelsior
Paris Eternal,-7.55,New York Excelsior
Boston Uprising,-10.83,New York Excelsior
Florida Mayhem,-14.86,New York Excelsior
Toronto Defiant,-25.35,New York Excelsior
Guangzhou Charge,-26.21,New York Excelsior
Hangzhou Spark,-30.71,New York Excelsior
London Spitfire,-63.52,New York Excelsior
Vancouver Titans,-84.22,New York Excelsior
Los Angeles Valiant,-100.0,New York Excelsior
Los Angeles Gladiators,74.31,Philadelphia Fusion
Shanghai Dragons,73.43,Philadelphia Fusion
Dallas Fuel,65.81,Philadelphia Fusion
Atlanta Reign,63.27,Philadelphia Fusion
San Francisco Shock,61.44,Philadelphia Fusion
Chengdu Hunters,51.58,Philadelphia Fusion
Seoul Dynasty,47.76,Philadelphia Fusion
Houston Outlaws,46.18,Philadelphia Fusion
Philadelphia Fusion,11.71,Philadelphia Fusion
Washington Justice,3.1,Philadelphia Fusion
Paris Eternal,1.78,Philadelphia Fusion
Guangzhou Charge,-1.28,Philadelphia Fusion
New York Excelsior,-3.94,Philadelphia Fusion
Boston Uprising,-4.44,Philadelphia Fusion
Hangzhou Spark,-4.95,Philadelphia Fusion
Florida Mayhem,-6.58,Philadelphia Fusion
Toronto Defiant,-17.35,Philadelphia Fusion
London Spitfire,-53.41,Philadelphia Fusion
Vancouver Titans,-74.24,Philadelphia Fusion
Los Angeles Valiant,-100.0,Philadelphia Fusion
Los Angeles Gladiators,70.98,Seoul Dynasty
Dallas Fuel,64.96,Seoul Dynasty
Shanghai Dragons,60.31,Seoul Dynasty
Atlanta Reign,59.07,Seoul Dynasty
San Francisco Shock,58.71,Seoul Dynasty
Chengdu Hunters,56.11,Seoul Dynasty
Houston Outlaws,42.64,Seoul Dynasty
Philadelphia Fusion,29.61,Seoul Dynasty
Seoul Dynasty,9.83,Seoul Dynasty
Washington Justice,3.43,Seoul Dynasty
New York Excelsior,2.48,Seoul Dynasty
