team,adjusted rank,adjusted sos,raw rank,raw sos
Florida Mayhem,1.0,383.84999999999997,3.0,390.8299999999999
Atlanta Reign,2.0,371.32000000000005,6.0,283.21
London Spitfire,3.0,348.99,2.0,421.22
Dallas Fuel,4.0,340.76000000000005,9.0,263.75999999999993
Houston Outlaws,5.0,334.5,5.0,303.67999999999995
Los Angeles Gladiators,6.0,325.49999999999994,7.0,269.66999999999996
San Francisco Shock,7.0,303.12999999999994,10.0,252.94
Vancouver Titans,8.0,225.71,4.0,333.25
Boston Uprising,9.0,219.64999999999995,11.0,227.78999999999996
Shanghai Dragons,10.0,215.78999999999996,19.0,75.36999999999999
Toronto Defiant,11.0,188.98999999999998,14.0,182.72
Philadelphia Fusion,12.0,172.84,15.0,166.79
Seoul Dynasty,13.0,158.61,16.0,150.54
Washington Justice,14.0,155.78000000000003,13.0,191.51
Guangzhou Charge,15.0,143.76,12.0,224.69000000000003
Paris Eternal,16.0,137.23000000000002,17.0,149.49999999999997
Hangzhou Spark,17.0,133.95999999999998,8.0,264.68
Chengdu Hunters,18.0,87.28999999999996,20.0,10.209999999999994
Los Angeles Valiant,19.0,-20.77000000000002,1.0,431.2099999999999
New York Excelsior,20.0,-30.330000000000048,18.0,107.06999999999996
